num_vuelo;dia_sem;destino;codigo;opera_desde;opera_hasta;hora_salida;aeronave;pais;origen
  EZY8682;6;LONDRES/GATWICK;LGW;2022-01-01;2022-03-26;12:40;320;REINO-UNIDO;ACE
  EZY8682;3;LONDRES/GATWICK;LGW;2022-02-09;2022-03-23;12:40;320;REINO-UNIDO;ACE
  EZY8682;7;LONDRES/GATWICK;LGW;2022-03-06;2022-03-20;12:55;320;REINO-UNIDO;ACE
  EZY8684;3;LONDRES/GATWICK;LGW;2022-02-16;2022-03-23;18:25;320;REINO-UNIDO;ACE
  EZY8684;4;LONDRES/GATWICK;LGW;2022-02-24;2022-03-24;18:25;320;REINO-UNIDO;ACE
  EZY8684;5;LONDRES/GATWICK;LGW;2022-03-04;2022-03-25;18:25;320;REINO-UNIDO;ACE
  EZY8684;7;LONDRES/GATWICK;LGW;2022-02-13;2022-03-20;19:15;32Q;REINO-UNIDO;ACE
  EZY8686;6;LONDRES/GATWICK;LGW;2022-02-05;2022-03-26;19:45;320;REINO-UNIDO;ACE
  EZY8678;6;LONDRES/GATWICK;LGW;2022-03-05;2022-03-26;21:05;320;REINO-UNIDO;ACE
  LGL742;7;LUXEMBURGO;LUX;2022-03-06;2022-03-13;10:05;73W;LUXEMBURGO;ACE
  LGL750;4;LUXEMBURGO;LUX;2022-01-13;2022-03-10;10:15;73W;LUXEMBURGO;ACE
  EJU4380;5;LYON /SATOLAS;LYS;2022-01-07;2022-03-25;12:10;320;FRANCIA;ACE
  EJU4380;1;LYON /SATOLAS;LYS;2022-02-07;2022-03-21;18:35;320;FRANCIA;ACE
  VOE2031;6;LYON /SATOLAS;LYS;2022-03-05;2022-03-26;20:40;319;FRANCIA;ACE
  IBE3859;6;MADRID-BARAJAS ADOLFO SUÁREZ;MAD;2022-03-12;2022-03-12;7:00;320;ESPANIA;ACE
  RYR2018;4;MADRID-BARAJAS ADOLFO SUÁREZ;MAD;2022-02-03;2022-03-24;9:20;73H;ESPANIA;ACE
  RYR2018;7;MADRID-BARAJAS ADOLFO SUÁREZ;MAD;2022-01-02;2022-03-20;9:30;73H;ESPANIA;ACE
  AEA9076;7;MADRID-BARAJAS ADOLFO SUÁREZ;MAD;2022-03-13;2022-03-13;9:40;73H;ESPANIA;ACE
  RYR2018;6;MADRID-BARAJAS ADOLFO SUÁREZ;MAD;2022-01-01;2022-03-26;10:20;73H;ESPANIA;ACE
  IBE3853;7;MADRID-BARAJAS ADOLFO SUÁREZ;MAD;2022-03-13;2022-03-13;10:40;321;ESPANIA;ACE
  IBE3853;1;MADRID-BARAJAS ADOLFO SUÁREZ;MAD;2022-03-07;2022-03-21;10:50;320;ESPANIA;ACE
  AEA9076;5;MADRID-BARAJAS ADOLFO SUÁREZ;MAD;2022-01-14;2022-03-18;15:35;73H;ESPANIA;ACE
  RYR2016;4;MADRID-BARAJAS ADOLFO SUÁREZ;MAD;2021-11-04;2022-03-24;16:50;73H;ESPANIA;ACE
  RYR2016;1;MADRID-BARAJAS ADOLFO SUÁREZ;MAD;2021-11-01;2022-03-21;17:20;73H;ESPANIA;ACE
  AEA9076;1;MADRID-BARAJAS ADOLFO SUÁREZ;MAD;2022-03-07;2022-03-07;17:35;73H;ESPANIA;ACE
  RYR2016;5;MADRID-BARAJAS ADOLFO SUÁREZ;MAD;2021-12-31;2022-03-25;18:50;73H;ESPANIA;ACE
  RYR2016;6;MADRID-BARAJAS ADOLFO SUÁREZ;MAD;2022-02-05;2022-03-26;18:50;73H;ESPANIA;ACE
  RYR2016;3;MADRID-BARAJAS ADOLFO SUÁREZ;MAD;2021-11-03;2022-03-23;20:10;73H;ESPANIA;ACE
  RYR2016;7;MADRID-BARAJAS ADOLFO SUÁREZ;MAD;2021-10-31;2022-03-20;20:15;73H;ESPANIA;ACE
  RYR6771;1;MALAGA-COSTA DEL SOL;AGP;2021-11-01;2022-03-21;8:40;73H;ESPANIA;ACE
