Destino;Codigo;Dia_semana;Opera_desde;Opera_hasta;Hora_Salida;Aeronave;Num_vuelo;Pais;Origen
GRAN CANARIA;LPA;    V  ;05/11/2021;25/03/2022;18:15;AT7;  IBB525;ESPAÑA;ACE
GRAN CANARIA;LPA;LMXJ SD;01/03/2022;26/03/2022;18:15;AT7;  IBB525;ESPAÑA;ACE
GRAN CANARIA;LPA;   JV D;03/03/2022;25/03/2022;18:45;AT7;  IBB533;ESPAÑA;ACE
GRAN CANARIA;LPA;    V  ;07/01/2022;25/03/2022;19:30;AT7;  IBB531;ESPAÑA;ACE
GRAN CANARIA;LPA;LMXJ SD;01/03/2022;26/03/2022;19:30;AT7;  IBB531;ESPAÑA;ACE
GRAN CANARIA;LPA;LMXJVSD;31/10/2021;26/03/2022;20:45;AT7;  CNF784;ESPAÑA;ACE
GRAN CANARIA;LPA;    V D;04/03/2022;25/03/2022;20:45;AT7;  IBB535;ESPAÑA;ACE
GRAN CANARIA;LPA;     S ;05/03/2022;26/03/2022;21:30;AT7;  IBB537;ESPAÑA;ACE
GRAN CANARIA;LPA;LMXJ   ;01/03/2022;24/03/2022;21:45;AT7;  IBB537;ESPAÑA;ACE
GRAN CANARIA;LPA;    V D;04/03/2022;25/03/2022;21:55;AT7;  IBB537;ESPAÑA;ACE
HAMBURGO/ FUHLSBUETTEL;HAM;      D;31/10/2021;20/03/2022;11:10;32A;  EWG7089;ALEMANIA;ACE
HAMBURGO/ FUHLSBUETTEL;HAM;    V  ;25/02/2022;25/03/2022;13:45;320;  CFG1439;ALEMANIA;ACE
HAMBURGO/ FUHLSBUETTEL;HAM; M     ;01/02/2022;22/03/2022;14:45;32A;  EWG7089;ALEMANIA;ACE
HAMBURGO/ FUHLSBUETTEL;HAM; M     ;01/03/2022;01/03/2022;15:15;320;  CFG1439;ALEMANIA;ACE
HAMBURGO/ FUHLSBUETTEL;HAM; M     ;08/03/2022;15/03/2022;15:20;320;  CFG1439;ALEMANIA;ACE
HANNOVER;HAJ;    V  ;04/03/2022;25/03/2022;11:45;73H;  CXI2249;ALEMANIA;ACE
HANNOVER;HAJ;  X    ;02/03/2022;16/03/2022;12:15;7S8;  TUI2188;ALEMANIA;ACE
HANNOVER;HAJ; M     ;01/03/2022;22/03/2022;17:35;73H;  CXI2226;ALEMANIA;ACE
HANNOVER;HAJ;      D;27/02/2022;20/03/2022;19:05;7S8;  TUI2189;ALEMANIA;ACE
KATOWICE / PYRZOWICE;KTW;     S ;05/03/2022;26/03/2022;19:00;738;  ENT7502;POLONIA;ACE
LEEDS /LEEDS-BRADFORD;LBA;L   VS ;04/02/2022;26/03/2022;11:10;73H;  RYR2047;REINO UNIDO;ACE
LEEDS /LEEDS-BRADFORD;LBA;L   V D;01/11/2021;25/03/2022;15:10;73H;  EXS218;REINO UNIDO;ACE
LEEDS /LEEDS-BRADFORD;LBA;     S ;08/01/2022;26/03/2022;15:10;73H;  EXS218;REINO UNIDO;ACE
LEEDS /LEEDS-BRADFORD;LBA; M     ;18/01/2022;22/03/2022;15:10;73H;  EXS218;REINO UNIDO;ACE
LEEDS /LEEDS-BRADFORD;LBA;   J   ;30/12/2021;24/03/2022;15:55;73H;  EXS218;REINO UNIDO;ACE
LISBOA;LIS;     S ;05/02/2022;26/03/2022;9:20;73H;  RYR3603;PORTUGAL;ACE
LISBOA;LIS;   J   ;03/02/2022;24/03/2022;9:50;73H;  RYR3603;PORTUGAL;ACE
LISBOA;LIS; M     ;01/02/2022;22/03/2022;14:50;73H;  RYR3603;PORTUGAL;ACE
LIVERPOOL /INTERNACIONAL;LPL; M     ;01/02/2022;22/03/2022;11:05;73H;  RYR3812;REINO UNIDO;ACE
LIVERPOOL /INTERNACIONAL;LPL;   J   ;03/02/2022;24/03/2022;11:20;73H;  RYR3812;REINO UNIDO;ACE
LIVERPOOL /INTERNACIONAL;LPL;     S ;05/02/2022;26/03/2022;11:30;73H;  RYR3812;REINO UNIDO;ACE
LIVERPOOL /INTERNACIONAL;LPL;      D;31/10/2021;20/03/2022;11:55;320;  EZY7154;REINO UNIDO;ACE
LIVERPOOL /INTERNACIONAL;LPL; M     ;08/02/2022;22/03/2022;18:45;320;  EZY7154;REINO UNIDO;ACE
LONDRES / HEATHROW;LHR;    V  ;24/12/2021;25/03/2022;12:15;320;  BAW2733;REINO UNIDO;ACE
