num_vuelo;dia_sem;destino;codigo;hora_salida;aeronave;pais;origen
  RYR251;2022-03-12;LONDRES /STANSTED;STN;17:10;7M8;REINO-UNIDO;ACE
  RYR251;2022-03-13;LONDRES /STANSTED;STN;17:25;320;REINO-UNIDO;ACE
  EZY8682;2022-03-12;LONDRES/GATWICK;LGW;12:40;320;REINO-UNIDO;ACE
  EZY8682;2022-03-09;LONDRES/GATWICK;LGW;12:40;320;REINO-UNIDO;ACE
  EZY8682;2022-03-13;LONDRES/GATWICK;LGW;12:55;320;REINO-UNIDO;ACE
  EZY8684;2022-03-09;LONDRES/GATWICK;LGW;18:25;320;REINO-UNIDO;ACE
  EZY8684;2022-03-10;LONDRES/GATWICK;LGW;18:25;320;REINO-UNIDO;ACE
  EZY8684;2022-03-11;LONDRES/GATWICK;LGW;18:25;320;REINO-UNIDO;ACE
  EZY8684;2022-03-13;LONDRES/GATWICK;LGW;19:15;32Q;REINO-UNIDO;ACE
  EZY8686;2022-03-12;LONDRES/GATWICK;LGW;19:45;320;REINO-UNIDO;ACE
  EZY8678;2022-03-12;LONDRES/GATWICK;LGW;21:05;320;REINO-UNIDO;ACE
  LGL742;2022-03-13;LUXEMBURGO;LUX;10:05;73W;LUXEMBURGO;ACE
  LGL750;2022-03-10;LUXEMBURGO;LUX;10:15;73W;LUXEMBURGO;ACE
  EJU4380;2022-03-11;LYON /SATOLAS;LYS;12:10;320;FRANCIA;ACE
  EJU4380;2022-03-07;LYON /SATOLAS;LYS;18:35;320;FRANCIA;ACE
  VOE2031;2022-03-12;LYON /SATOLAS;LYS;20:40;319;FRANCIA;ACE
  IBE3859;2022-03-12;MADRID-BARAJAS ADOLFO SUÁREZ;MAD;7:00;320;ESPANIA;ACE
  RYR2018;2022-03-10;MADRID-BARAJAS ADOLFO SUÁREZ;MAD;9:20;73H;ESPANIA;ACE
  RYR2018;2022-03-13;MADRID-BARAJAS ADOLFO SUÁREZ;MAD;9:30;73H;ESPANIA;ACE
  AEA9076;2022-03-13;MADRID-BARAJAS ADOLFO SUÁREZ;MAD;9:40;73H;ESPANIA;ACE
  RYR2018;2022-03-12;MADRID-BARAJAS ADOLFO SUÁREZ;MAD;10:20;73H;ESPANIA;ACE
  IBE3853;2022-03-13;MADRID-BARAJAS ADOLFO SUÁREZ;MAD;10:40;321;ESPANIA;ACE
  IBE3853;2022-03-07;MADRID-BARAJAS ADOLFO SUÁREZ;MAD;10:50;320;ESPANIA;ACE
  AEA9076;2022-03-11;MADRID-BARAJAS ADOLFO SUÁREZ;MAD;15:35;73H;ESPANIA;ACE
  RYR2016;2022-03-10;MADRID-BARAJAS ADOLFO SUÁREZ;MAD;16:50;73H;ESPANIA;ACE
  RYR2016;2022-03-07;MADRID-BARAJAS ADOLFO SUÁREZ;MAD;17:20;73H;ESPANIA;ACE
  AEA9076;2022-03-07;MADRID-BARAJAS ADOLFO SUÁREZ;MAD;17:35;73H;ESPANIA;ACE
  RYR2016;2022-03-11;MADRID-BARAJAS ADOLFO SUÁREZ;MAD;18:50;73H;ESPANIA;ACE
  RYR2016;2022-03-12;MADRID-BARAJAS ADOLFO SUÁREZ;MAD;18:50;73H;ESPANIA;ACE
  RYR2016;2022-03-09;MADRID-BARAJAS ADOLFO SUÁREZ;MAD;20:10;73H;ESPANIA;ACE
  RYR2016;2022-03-13;MADRID-BARAJAS ADOLFO SUÁREZ;MAD;20:15;73H;ESPANIA;ACE
  RYR6771;2022-03-07;MALAGA-COSTA DEL SOL;AGP;8:40;73H;ESPANIA;ACE
  VLG3141;2022-03-08;MALAGA-COSTA DEL SOL;AGP;12:40;320;ESPANIA;ACE
  RYR6771;2022-03-11;MALAGA-COSTA DEL SOL;AGP;13:05;73H;ESPANIA;ACE
  RYR2132;2022-03-08;MANCHESTER /INTERNACIONAL;MAN;11:20;73H;REINO-UNIDO;ACE
  RYR2132;2022-03-11;MANCHESTER /INTERNACIONAL;MAN;11:35;73H;REINO-UNIDO;ACE
  EZY1972;2022-03-12;MANCHESTER /INTERNACIONAL;MAN;11:50;320;REINO-UNIDO;ACE
  RUK2132;2022-03-10;MANCHESTER /INTERNACIONAL;MAN;12:05;73H;REINO-UNIDO;ACE
